2022 11 17 06:04:39 10.14.255.31  Load balancing issues
2023 10 01 18:41:59 10.14.255.42  Security breaches
2022 12 07 23:39:35 10.14.255.106  Weak or easily guessable passwords
2022 11 16 10:16:09 10.14.255.48  Broken authentication and session management
2022 03 02 08:30:13 10.14.255.64  Broken authentication and session management
2023 01 01 04:12:19 10.14.255.111  Weak or easily guessable passwords
2022 07 05 16:38:13 10.14.255.146  SQL injection
2023 07 28 11:37:16 10.14.255.203  SQL injection
2022 09 22 03:12:10 10.14.255.76  Broken authentication and session management
2022 09 26 22:19:45 10.14.255.77  Network connectivity issues
2022 11 05 20:11:26 10.14.255.140  Data corruption
2022 01 11 16:47:34 10.14.255.156  Weak or easily guessable passwords
2022 09 09 03:08:44 10.14.255.145  SQL injection
2022 05 12 00:30:15 10.14.255.154  Application error
2022 10 02 11:12:19 10.14.255.168  Weak or easily guessable passwords
2023 09 20 00:00:14 10.14.255.235  Configuration errors
2022 05 13 20:29:10 10.14.255.243  Human error
2023 07 13 15:05:00 10.14.255.183  Human error
2023 03 01 08:32:49 10.14.255.97  Network connectivity issues
2022 09 13 23:35:24 10.14.255.233  Security breaches
2023 09 06 18:43:04 10.14.255.232  Application error
